EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,YEAR,LOGWKS 
10,44,1,1,1,0,1,0,1,9,0,6.2304800,1,3.7841896 
11,48,1,1,1,0,1,0,1,9,0,6.3332800,2,3.8712010 
12,48,1,1,1,0,1,0,1,9,0,6.3647500,3,3.8712010 
13,49,1,1,1,0,1,0,1,9,0,6.4504700,4,3.8918203 
14,48,1,1,1,0,1,0,1,9,0,6.5722800,5,3.8712010 
15,38,1,1,1,0,1,0,1,9,0,6.9939300,6,3.6375862 
16,52,1,1,1,0,1,0,1,9,0,7.2189100,7,3.9512437 
15,46,1,1,0,0,1,0,0,8,0,5.8861000,1,3.8286414 
16,44,1,0,0,0,1,0,0,8,0,5.7838300,2,3.7841896 
17,45,1,0,0,0,1,0,0,8,0,5.9914600,3,3.8066625 
18,51,1,0,0,0,1,0,0,8,0,6.1092500,4,3.9318256 
19,50,1,0,0,0,1,0,0,8,0,6.3207700,5,3.9120230 
20,50,1,0,0,0,1,0,0,8,0,6.4377500,6,3.9120230 
21,49,1,0,0,0,1,0,0,8,0,6.5057800,7,3.8918203 
35,47,0,1,0,1,1,0,0,16,0,6.7214300,1,3.8501476 
36,45,0,1,0,1,1,0,0,16,0,6.6808500,2,3.8066625 
37,48,0,1,0,1,1,0,0,16,0,6.7262300,3,3.8712010 
38,47,0,1,0,1,1,0,0,16,0,6.8773000,4,3.8501476 
39,47,0,1,0,1,1,0,0,16,0,6.8773000,5,3.8501476 
40,47,0,1,0,1,1,0,0,16,0,6.9613000,6,3.8501476 
41,47,0,1,0,1,1,0,0,16,0,7.1090600,7,3.8501476 
34,50,1,1,0,1,1,0,0,12,0,6.3716100,1,3.9120230 
35,49,1,1,0,1,1,0,0,12,0,6.4769700,2,3.8918203 
36,49,1,1,0,1,1,0,0,12,0,6.5861700,3,3.8918203 
37,49,1,1,0,1,1,0,0,12,0,6.6846100,4,3.8918203 
38,48,1,1,0,1,1,0,0,12,0,6.8134400,5,3.8712010 
39,48,1,1,0,1,1,0,0,12,0,6.8773000,6,3.8712010 
40,48,1,1,0,1,1,0,0,12,0,6.9660200,7,3.8712010 
7,49,0,1,0,1,1,0,0,14,0,6.2304800,1,3.8918203 
8,50,0,1,0,1,1,0,0,14,0,6.3099200,2,3.9120230 
9,49,0,1,0,1,1,0,0,14,0,6.3969300,3,3.8918203 
10,49,0,1,0,0,1,0,0,14,0,6.6200700,4,3.8918203 
11,49,0,1,0,0,1,0,0,14,0,6.7742200,5,3.8918203 
12,48,0,1,0,0,1,0,0,14,0,6.7499300,6,3.8712010 
13,48,0,1,0,0,1,0,0,14,0,7.1701200,7,3.8712010 
19,48,0,0,0,1,1,0,0,16,0,6.7742200,1,3.8712010 
20,49,0,1,0,1,1,0,0,16,0,6.9057500,2,3.8918203 
21,49,0,1,0,1,1,0,0,16,0,7.3132200,3,3.8918203 
22,49,0,0,0,1,1,0,0,16,0,7.4955400,4,3.8918203 
23,49,0,0,0,1,1,0,0,16,0,6.9137400,5,3.8918203 
24,49,0,1,0,1,1,0,0,16,0,7.1098800,6,3.8918203 
25,49,0,0,0,1,1,0,0,16,0,7.3981700,7,3.8918203 
36,48,0,1,0,0,1,0,0,15,0,6.9057500,1,3.8712010 
37,48,0,1,0,0,1,0,0,15,0,6.9057500,2,3.8712010 
38,48,0,1,0,0,1,0,0,15,0,7.1309000,3,3.8712010 
39,48,0,1,0,0,1,0,0,15,0,7.1701200,4,3.8712010 
40,48,0,1,0,0,1,0,0,15,0,7.2442300,5,3.8712010 
41,48,0,1,0,0,1,0,0,15,0,7.3132200,6,3.8712010 
42,48,0,1,0,0,1,0,0,15,0,7.4085300,7,3.8712010 
12,47,0,1,0,0,1,0,0,12,0,6.4769700,1,3.8501476 
13,48,0,1,0,0,1,0,0,12,0,6.6133800,2,3.8712010 
14,48,0,1,0,0,1,0,0,12,0,6.7214300,3,3.8712010 
15,48,0,0,0,0,1,0,0,12,0,7.0030700,4,3.8712010 
16,47,0,1,0,0,1,0,0,12,0,7.0030700,5,3.8501476 
17,49,0,1,0,0,1,0,0,12,0,7.1981800,6,3.8918203 
18,47,0,1,0,0,1,0,0,12,0,7.2100800,7,3.8501476 
4,45,1,0,0,1,1,0,0,14,0,5.7525700,1,3.8066625 
5,50,0,0,0,1,1,0,0,14,0,5.7525700,2,3.9120230 
6,50,0,0,0,1,1,0,0,14,0,6.2344100,3,3.9120230 
7,47,0,0,0,1,1,0,0,14,0,6.4769700,4,3.8501476 
8,51,0,0,0,1,1,0,0,14,0,6.6200700,5,3.9318256 
9,50,0,0,0,1,1,0,0,14,0,6.9565500,6,3.9120230 
10,49,0,0,0,1,1,0,0,14,0,6.8669300,7,3.8918203 
6,36,0,0,0,1,1,0,1,16,0,6.5366900,1,3.5835189 
7,36,0,0,0,1,1,0,1,16,0,6.8416200,2,3.5835189 
8,36,0,0,0,1,1,0,1,16,0,6.6846100,3,3.5835189 
9,36,0,0,0,1,0,0,1,16,0,6.8405500,4,3.5835189 
10,39,0,0,0,1,0,0,1,16,0,6.9077600,5,3.6635616 
11,36,0,0,0,1,0,0,1,16,0,6.8564600,6,3.5835189 
12,37,0,0,0,1,0,0,1,16,0,6.9077600,7,3.6109179 
16,48,1,0,0,1,1,0,1,12,0,6.2709900,1,3.8712010 
17,37,1,1,0,1,1,0,1,12,0,6.5395900,2,3.6109179 
18,32,1,1,0,1,1,0,1,12,0,6.5666700,3,3.4657359 
19,47,1,1,0,1,1,0,1,12,0,6.5957800,4,3.8501476 
20,40,1,1,0,1,1,0,1,12,0,6.8384100,5,3.6888795 
21,42,1,1,0,1,1,0,1,12,0,6.9402200,6,3.7376696 
22,5,1,1,0,1,1,0,1,12,0,6.8035100,7,1.6094379 
20,50,1,0,1,0,1,0,0,16,0,6.3099200,1,3.9120230 
21,50,1,0,1,0,1,0,0,16,0,6.4329400,2,3.9120230 
22,46,1,0,1,0,1,0,0,16,0,6.4815800,3,3.8286414 
23,49,1,0,1,0,1,0,0,16,0,6.6066500,4,3.8918203 
24,50,1,0,1,0,1,0,0,16,0,6.6333200,5,3.9120230 
25,48,0,0,1,0,1,0,0,16,0,6.7452400,6,3.8712010 
26,46,1,0,1,0,1,0,0,16,0,6.8276300,7,3.8286414 
4,50,1,0,1,0,1,0,0,8,1,5.4161000,1,3.9120230 
5,44,1,0,1,0,1,0,0,8,1,5.4595900,2,3.7841896 
6,48,1,0,1,0,1,0,0,8,1,5.4595900,3,3.8712010 
7,43,1,0,1,0,0,0,0,8,1,5.5797300,4,3.7612001 
8,6,1,0,1,0,0,0,0,8,1,5.7037800,5,1.7917595 
9,6,1,0,1,0,0,0,0,8,1,5.7037800,6,1.7917595 
10,35,1,0,1,0,0,0,0,8,1,5.7037800,7,3.5553481 
13,49,1,0,0,1,1,0,0,12,0,6.2245600,1,3.8918203 
14,37,1,0,0,1,1,0,0,12,0,6.3099200,2,3.6109179 
15,49,1,0,0,1,1,0,0,12,0,6.3099200,3,3.8918203 
16,48,1,0,0,1,1,0,0,12,0,6.3851900,4,3.8712010 
17,22,1,0,0,1,1,0,0,12,0,6.4345500,5,3.0910425 
18,50,1,0,0,1,1,0,0,12,0,6.5510800,6,3.9120230 
19,48,1,0,0,1,0,0,0,12,0,6.6846100,7,3.8712010 
12,50,0,0,1,1,0,0,0,17,0,6.7452400,1,3.9120230 
13,44,0,0,1,1,0,0,0,17,0,6.7274300,2,3.7841896 
14,50,0,0,1,1,0,0,0,17,0,6.8824400,3,3.9120230 
15,45,0,0,1,1,1,0,0,17,0,6.9275600,4,3.8066625 
16,44,0,0,1,1,0,0,0,17,0,6.8997200,5,3.7841896 
17,51,0,0,1,1,0,0,0,17,0,7.0273100,6,3.9318256 
18,49,0,0,1,1,0,0,0,17,0,7.1309000,7,3.8918203 
3,49,0,0,0,1,1,0,0,16,0,6.5220900,1,3.8918203 
4,46,0,0,0,1,1,0,0,16,0,6.6846100,2,3.8286414 
5,48,0,0,0,1,1,0,0,16,0,6.8023900,3,3.8712010 
6,48,0,0,0,1,1,0,0,16,0,7.0030700,4,3.8712010 
7,48,0,0,0,1,1,0,0,16,0,7.0030700,5,3.8712010 
8,48,0,0,0,1,1,0,0,16,0,7.2793200,6,3.8712010 
9,48,0,1,0,1,1,0,0,16,0,7.3777600,7,3.8712010 
33,47,0,0,0,0,1,0,0,13,0,6.6528600,1,3.8501476 
34,47,0,0,0,0,1,0,0,13,0,6.7742200,2,3.8501476 
35,47,0,0,0,0,1,0,0,13,0,6.8023900,3,3.8501476 
36,47,0,0,0,0,1,0,0,13,0,6.8564600,4,3.8501476 
37,48,0,0,0,0,1,0,0,13,0,7.0030700,5,3.8712010 
38,48,1,0,0,0,1,0,0,13,0,7.0900800,6,3.8712010 
39,48,1,0,0,0,1,0,0,13,0,7.0690200,7,3.8712010 
8,48,1,1,0,0,1,0,1,12,0,6.5453500,1,3.8712010 
9,51,0,1,0,0,1,0,1,12,0,6.4536200,2,3.9318256 
10,49,0,1,0,0,1,0,1,12,0,6.5778600,3,3.8918203 
11,49,0,1,0,0,1,0,1,12,0,6.6745600,4,3.8918203 
12,50,1,1,0,0,1,0,1,12,0,6.7730800,5,3.9120230 
13,50,0,1,0,0,1,0,1,12,0,6.8690100,6,3.9120230 
14,50,1,1,0,0,1,0,1,12,0,6.9077600,7,3.9120230 
29,46,1,1,0,1,1,0,0,12,0,6.6385700,1,3.8286414 
30,47,1,1,0,1,1,0,0,12,0,6.6846100,2,3.8501476 
31,47,1,1,0,1,1,0,0,12,0,6.7334000,3,3.8501476 
32,47,1,1,0,1,1,0,0,12,0,6.8824400,4,3.8501476 
33,47,1,1,0,1,1,0,0,12,0,6.9256000,5,3.8501476 
34,47,1,1,0,1,1,0,0,12,0,7.0414100,6,3.8501476 
35,47,1,1,0,1,1,0,0,12,0,7.0884100,7,3.8501476 
30,49,0,1,0,0,1,0,0,12,0,6.5510800,1,3.8918203 
31,49,0,1,0,0,1,0,0,12,0,6.5861700,2,3.8918203 
32,49,0,0,0,0,1,0,0,12,0,6.6528600,3,3.8918203 
33,52,0,1,0,0,1,0,0,12,0,6.4377500,4,3.9512437 
34,48,0,1,0,0,1,0,0,12,0,6.6200700,5,3.8712010 
35,50,0,1,0,0,1,0,0,12,0,6.8023900,6,3.9120230 
36,49,1,1,0,0,1,0,1,12,0,6.6846100,7,3.8918203 
25,38,0,0,0,1,1,0,1,17,0,6.6200700,1,3.6375862 
26,40,0,0,0,1,1,0,1,17,0,6.8023900,2,3.6888795 
27,39,0,0,0,1,1,0,1,17,0,6.8564600,3,3.6635616 
28,38,0,0,0,1,1,0,1,17,0,6.9077600,4,3.6375862 
29,39,0,0,0,1,1,0,1,17,0,6.9565500,5,3.6635616 
30,39,0,0,0,1,1,0,1,17,0,7.0900800,6,3.6635616 
31,35,0,0,0,1,1,0,1,17,0,7.1507000,7,3.5553481 
9,50,1,0,0,0,1,0,0,12,0,6.1092500,1,3.9120230 
10,52,1,0,0,0,1,0,0,12,0,6.2146100,2,3.9512437 
11,52,1,0,0,0,1,0,0,12,0,6.2146100,3,3.9512437 
12,52,1,0,0,0,1,0,0,12,0,6.5582000,4,3.9512437 
13,52,1,0,0,0,1,0,0,12,0,6.6656800,5,3.9512437 
14,46,1,0,0,0,1,0,0,12,0,6.8617100,6,3.8286414 
15,52,1,0,0,0,1,0,0,12,0,6.9707300,7,3.9512437 
8,50,1,0,0,1,1,0,0,12,0,5.7430000,1,3.9120230 
9,38,1,0,0,1,1,0,0,12,0,6.0520900,2,3.6375862 
10,49,0,0,0,1,1,0,0,12,0,6.0799300,3,3.8918203 
11,49,1,0,0,1,1,0,0,12,0,6.3099200,4,3.8918203 
12,51,1,0,0,1,1,0,0,12,0,6.3969300,5,3.9318256 
13,51,1,0,0,1,1,0,0,12,0,6.4769700,6,3.9318256 
14,49,1,0,0,1,0,0,0,12,0,6.5147100,7,3.8918203 
10,50,1,1,1,1,1,0,1,12,0,6.0402500,1,3.9120230 
11,52,1,1,1,1,1,0,1,12,0,6.1841500,2,3.9512437 
12,51,1,1,1,1,1,0,1,12,0,6.2146100,3,3.9318256 
13,49,1,1,1,1,1,0,1,12,0,6.3099200,4,3.8918203 
14,49,1,1,1,1,1,0,1,12,0,6.4552000,5,3.8918203 
15,50,1,1,1,1,1,0,1,12,0,6.5220900,6,3.9120230 
16,49,1,1,1,1,1,0,1,12,0,6.6424900,7,3.8918203 
10,49,1,1,1,1,0,1,0,11,1,6.0730400,1,3.8918203 
11,46,1,1,1,1,0,1,0,11,1,6.1944100,2,3.8286414 
12,50,1,1,1,1,0,1,0,11,1,6.3189700,3,3.9120230 
13,50,1,1,1,1,0,1,0,11,1,6.3952600,4,3.9120230 
14,46,1,1,1,1,0,1,0,11,1,6.4769700,5,3.8286414 
15,45,1,1,1,1,0,1,0,11,1,6.5971500,6,3.8066625 
16,41,1,1,1,1,0,1,0,11,1,6.6920800,7,3.7135721 
37,50,1,1,0,0,1,0,1,12,0,6.1779400,1,3.9120230 
38,50,1,1,0,0,1,0,1,12,0,6.3171600,2,3.9120230 
39,50,1,1,0,0,1,0,1,12,0,6.4118200,3,3.9120230 
40,50,1,1,0,0,1,0,1,12,0,6.3969300,4,3.9120230 
41,40,1,1,0,0,1,0,1,12,0,6.5147100,5,3.6888795 
42,48,1,1,0,0,1,0,1,12,0,6.6133800,6,3.8712010 
43,45,1,1,0,0,1,0,1,12,0,6.6783400,7,3.8066625 
10,50,0,0,0,1,1,0,0,15,0,6.7153800,1,3.9120230 
11,48,0,0,0,1,1,0,0,15,0,6.7855900,2,3.8712010 
12,48,0,0,0,1,1,0,0,15,0,6.8844900,3,3.8712010 
13,47,0,0,0,1,1,0,0,15,0,7.0030700,4,3.8501476 
14,43,0,0,0,1,1,0,0,15,0,7.0900800,5,3.7612001 
15,49,0,0,0,1,1,0,0,15,0,7.1701200,6,3.8918203 
16,48,0,0,0,1,1,0,0,15,0,7.2930200,7,3.8712010 
10,20,1,0,0,0,0,1,0,10,0,5.0106400,1,2.9957323 
11,30,1,0,0,0,0,1,0,10,0,5.0106400,2,3.4011974 
12,36,1,0,0,0,0,1,0,10,0,5.5214600,3,3.5835189 
13,52,1,0,0,0,0,1,0,10,0,5.6698800,4,3.9512437 
14,52,1,0,0,0,0,1,0,10,0,5.7365700,5,3.9512437 
15,29,1,0,0,0,0,1,0,10,0,5.8141300,6,3.3672958 
16,40,1,0,0,0,0,1,0,10,0,5.8141300,7,3.6888795 
3,40,0,0,0,1,1,0,0,17,0,6.2324500,1,3.6888795 
4,42,0,0,0,1,1,0,0,17,0,6.5792500,2,3.7376696 
5,44,0,0,0,1,1,0,1,17,0,6.6528600,3,3.7841896 
6,48,0,0,0,1,1,0,1,17,0,6.7452400,4,3.8712010 
7,48,0,0,0,1,1,0,0,17,0,7.4955400,5,3.8712010 
8,48,0,0,0,1,1,0,0,17,0,8.1605200,6,3.8712010 
9,50,0,0,0,1,1,0,0,17,0,8.3082000,7,3.9120230 
25,50,0,0,1,0,1,0,0,17,0,6.9057500,1,3.9120230 
26,50,0,0,1,0,1,0,0,17,0,6.9057500,2,3.9120230 
27,51,0,0,1,0,1,0,0,17,0,7.4085300,3,3.9318256 
28,51,0,0,1,0,1,0,0,17,0,7.4673700,4,3.9318256 
29,51,0,0,1,0,1,0,0,17,0,7.5229400,5,3.9318256 
30,49,0,0,1,0,1,0,0,17,0,7.4673700,6,3.8918203 
31,50,0,0,1,0,1,0,0,17,0,7.5755800,7,3.9120230 
24,39,1,0,1,0,1,0,0,9,0,5.6733200,1,3.6635616 
25,47,1,0,1,0,1,0,0,9,0,5.7462000,2,3.8501476 
26,49,1,0,1,0,1,0,0,9,0,5.8289500,3,3.8918203 
27,50,1,0,1,0,1,0,0,9,0,6.0799300,4,3.9120230 
28,52,1,0,1,0,1,0,0,9,0,5.9914600,5,3.9512437 
29,49,1,0,1,0,1,0,0,9,0,5.9914600,6,3.8918203 
30,49,1,0,1,0,1,0,0,9,0,6.1377300,7,3.8918203 
12,51,1,0,0,1,0,0,0,12,1,5.9914600,1,3.9318256 
13,51,1,0,0,1,0,0,0,12,1,5.9269300,2,3.9318256 
14,50,1,0,0,1,0,0,0,12,1,6.0799300,3,3.9120230 
15,49,0,0,0,1,0,0,0,12,1,6.0799300,4,3.8918203 
16,45,0,0,0,1,0,0,0,12,1,6.2634000,5,3.8066625 
17,52,0,0,0,1,0,0,0,12,1,6.4377500,6,3.9512437 
18,28,0,0,0,1,0,0,0,12,1,6.5510800,7,3.3322045 
10,48,0,1,0,1,1,0,0,16,0,6.9057500,1,3.8712010 
11,47,0,1,0,1,1,0,0,16,0,6.9057500,2,3.8501476 
12,47,0,1,0,1,1,0,0,16,0,7.2276600,3,3.8501476 
13,46,0,1,0,1,1,0,0,16,0,7.2930200,4,3.8286414 
14,48,0,1,0,1,1,0,0,16,0,7.3336800,5,3.8712010 
15,49,0,0,0,1,1,0,0,16,0,7.5735300,6,3.8918203 
16,50,0,0,0,1,1,0,0,16,0,7.2710100,7,3.9120230 
28,48,0,1,0,1,1,0,0,16,0,6.9057500,1,3.8712010 
29,46,0,1,0,1,1,0,0,16,0,6.9057500,2,3.8286414 
30,46,0,1,0,1,1,0,0,16,0,7.3460100,3,3.8286414 
31,49,0,1,0,1,1,0,0,16,0,7.3132200,4,3.8918203 
32,44,0,1,0,1,1,0,0,16,0,7.5548600,5,3.7841896 
33,48,0,1,0,1,1,0,0,16,0,7.7186900,6,3.8712010 
34,43,0,1,0,1,1,0,0,16,0,7.6962100,7,3.7612001 
5,28,1,1,0,1,0,0,1,12,0,6.0822200,1,3.3322045 
6,40,0,1,0,1,0,0,1,12,0,6.5132300,2,3.6888795 
7,29,1,1,0,1,0,0,1,12,0,6.6214100,3,3.3672958 
8,46,1,1,0,1,0,0,1,12,0,6.6995000,4,3.8286414 
9,48,1,1,0,1,0,0,1,12,0,6.7957100,5,3.8712010 
10,49,1,1,0,1,0,0,1,12,0,6.8966900,6,3.8918203 
11,48,1,1,0,1,0,0,1,12,0,6.9966800,7,3.8712010 
3,49,0,0,0,1,0,1,0,12,0,5.9661500,1,3.8918203 
4,50,0,0,0,1,0,1,0,12,0,6.1114700,2,3.9120230 
5,48,0,0,0,1,0,1,0,12,0,6.1737900,3,3.8712010 
6,49,0,0,0,1,0,1,0,12,0,6.2205900,4,3.8918203 
7,48,0,0,0,1,0,1,0,12,0,6.2897200,5,3.8712010 
8,50,0,0,0,1,0,1,0,12,0,6.3647500,6,3.9120230 
9,49,0,0,0,1,0,1,0,12,0,6.7274300,7,3.8918203 
4,50,1,0,0,0,1,0,0,14,0,6.4361500,1,3.9120230 
5,50,0,0,0,0,1,0,0,14,0,6.6592900,2,3.9120230 
6,50,0,0,0,0,1,0,0,14,0,6.7452400,3,3.9120230 
7,50,0,0,0,0,1,0,0,14,0,6.8564600,4,3.9120230 
8,50,0,0,0,0,1,0,0,14,0,6.9077600,5,3.9120230 
9,49,0,0,0,0,1,0,0,14,0,7.1333000,6,3.8918203 
10,47,0,0,0,0,1,0,0,14,0,7.2189100,7,3.8501476 
19,49,0,0,0,1,0,1,0,15,0,6.7742200,1,3.8918203 
20,51,0,0,0,1,0,1,0,15,0,6.8254600,2,3.9318256 
21,48,0,0,0,1,0,1,0,15,0,6.0799300,3,3.8712010 
22,49,0,0,0,1,0,1,0,15,0,6.9077600,4,3.8918203 
23,47,0,0,0,1,0,1,0,15,0,6.2146100,5,3.8501476 
24,52,0,0,0,1,0,1,0,15,0,6.7007300,6,3.9512437 
25,50,0,0,0,1,0,1,0,15,0,6.5930400,7,3.9120230 
3,49,1,1,0,0,1,0,0,9,0,6.1003200,1,3.8918203 
4,48,1,1,0,0,1,0,0,9,0,6.1569800,2,3.8712010 
5,49,1,1,0,0,1,0,0,9,0,6.2422200,3,3.8918203 
6,50,1,1,0,0,1,0,0,9,0,6.3835100,4,3.9120230 
7,51,1,1,0,0,1,0,0,9,0,6.4248700,5,3.9318256 
8,47,1,1,0,0,1,0,0,9,0,6.5722800,6,3.8501476 
9,49,1,1,0,0,1,0,0,9,0,6.7569300,7,3.8918203 
20,47,1,0,0,0,1,0,0,16,0,5.7462000,1,3.8501476 
21,47,1,0,0,0,1,0,0,16,0,5.9269300,2,3.8501476 
22,49,1,0,0,0,1,0,0,16,0,6.0161600,3,3.8918203 
23,50,1,0,0,0,1,0,0,16,0,5.9480300,4,3.9120230 
24,46,1,0,0,0,1,0,0,16,0,6.0520900,5,3.8286414 
25,48,1,0,0,0,1,0,0,16,0,6.3243600,6,3.8712010 
26,49,1,0,0,0,1,0,0,16,0,6.3699000,7,3.8918203 
11,48,0,0,0,1,1,0,0,12,0,6.2897200,1,3.8712010 
12,48,0,0,0,1,1,0,0,12,0,6.3969300,2,3.8712010 
13,50,0,0,0,0,1,0,0,12,0,6.5453500,3,3.9120230 
14,50,0,0,0,1,1,0,0,12,0,6.7310200,4,3.9120230 
15,51,0,0,0,1,1,0,0,12,0,7.4933200,5,3.9318256 
16,50,0,0,0,1,1,0,0,12,0,6.7310200,6,3.9120230 
17,50,0,0,0,1,1,0,0,12,0,6.9828600,7,3.9120230 
14,46,1,1,1,0,1,0,1,12,0,6.5510800,1,3.8286414 
15,26,0,1,1,0,1,0,0,12,0,6.8669300,2,3.2580965 
16,50,0,1,1,0,1,0,0,12,0,6.9256000,3,3.9120230 
17,49,0,1,1,0,1,0,0,12,0,7.0647600,4,3.8918203 
18,49,1,1,1,0,1,0,0,12,0,7.1309000,5,3.8918203 
19,49,1,1,1,0,1,0,0,12,0,7.4383800,6,3.8918203 
20,32,1,1,1,0,1,0,1,12,0,7.1444100,7,3.4657359 
8,51,1,0,1,0,1,1,0,14,0,5.8579300,1,3.9318256 
9,51,1,0,1,0,1,1,0,14,0,5.8861000,2,3.9318256 
10,51,1,0,1,0,1,1,0,14,0,5.9914600,3,3.9318256 
11,50,1,0,1,0,1,1,0,14,0,6.0282800,4,3.9120230 
12,50,1,0,1,0,1,1,0,14,0,6.1092500,5,3.9120230 
13,50,1,0,1,0,0,1,0,14,0,6.1633100,6,3.9120230 
14,51,1,0,1,0,0,1,0,14,0,6.2146100,7,3.9318256 
10,36,1,0,1,0,0,1,0,8,0,5.4205300,1,3.5835189 
11,36,1,0,1,0,0,1,0,8,0,5.5174500,2,3.5835189 
12,39,1,0,1,0,0,1,0,8,0,5.1929600,3,3.6635616 
13,36,1,0,1,0,0,1,0,8,0,5.3471100,4,3.5835189 
14,35,1,0,1,0,0,1,0,8,0,5.6419100,5,3.5553481 
15,38,1,0,1,0,0,1,0,8,0,5.6594800,6,3.6375862 
16,41,1,0,1,0,0,1,0,8,0,5.7525700,7,3.7135721 
25,47,1,1,0,1,1,0,0,12,0,6.5539300,1,3.8501476 
26,47,1,1,0,1,1,0,0,12,0,6.7153800,2,3.8501476 
27,47,1,1,0,1,1,0,0,12,0,6.6240700,3,3.8501476 
28,47,1,1,0,1,1,0,0,12,0,6.8308700,4,3.8501476 
29,47,1,1,0,1,1,0,0,12,0,6.9565500,5,3.8501476 
30,47,1,1,0,1,1,0,1,12,0,6.7901000,6,3.8501476 
31,47,1,1,0,1,1,0,1,12,0,7.0900800,7,3.8501476 
23,48,1,0,0,0,1,0,1,12,0,6.5510800,1,3.8712010 
24,49,1,0,0,0,1,0,1,12,0,6.6200700,2,3.8918203 
25,48,1,0,0,0,1,0,1,12,0,6.7056400,3,3.8712010 
26,48,1,0,0,0,1,0,1,12,0,6.7855900,4,3.8712010 
27,46,1,0,0,0,1,0,1,12,0,6.8885700,5,3.8286414 
28,46,1,0,0,0,1,0,1,12,0,7.0076000,6,3.8286414 
29,47,1,0,0,0,1,0,1,12,0,7.1123300,7,3.8501476 
35,45,1,0,0,1,1,0,0,12,0,6.8023900,1,3.8066625 
36,45,1,0,0,1,1,0,0,12,0,6.8564600,2,3.8066625 
37,45,1,0,0,1,1,0,0,12,0,6.9800800,3,3.8066625 
38,46,1,0,0,1,1,0,0,12,0,7.0958900,4,3.8286414 
39,44,1,0,0,1,1,0,0,12,0,7.4882900,5,3.7841896 
40,44,1,0,0,1,1,0,0,12,0,7.4512400,6,3.7841896 
41,30,1,1,0,1,1,0,1,12,0,7.4787300,7,3.4011974 
22,47,1,0,0,1,0,0,1,12,0,6.9057500,1,3.8501476 
23,49,1,0,0,1,1,0,1,12,0,6.9057500,2,3.8918203 
24,45,1,0,0,1,1,0,1,12,0,7.1163900,3,3.8066625 
25,26,1,0,0,1,1,0,1,12,0,7.0741200,4,3.2580965 
26,22,1,0,0,1,1,0,1,12,0,7.0579000,5,3.0910425 
27,48,1,0,0,1,1,0,1,12,0,7.0264300,6,3.8712010 
28,42,1,0,0,1,1,0,1,12,0,7.2626300,7,3.7376696 
10,49,0,0,0,1,1,0,0,12,0,6.6200700,1,3.8918203 
11,48,0,0,0,1,1,0,0,12,0,6.6200700,2,3.8712010 
12,48,0,0,0,1,1,0,0,12,0,6.8330300,3,3.8712010 
13,48,0,0,0,1,1,0,0,12,0,6.9256000,4,3.8712010 
14,47,0,0,0,1,1,0,0,12,0,7.0237600,5,3.8501476 
15,46,0,0,0,1,1,0,0,12,0,7.0630500,6,3.8286414 
16,48,0,0,0,1,1,0,0,12,0,7.1831100,7,3.8712010 
23,48,0,0,0,1,1,0,0,17,0,6.9057500,1,3.8712010 
24,48,0,0,0,0,1,0,0,17,0,6.9057500,2,3.8712010 
25,49,0,0,0,0,1,0,0,17,0,7.0475200,3,3.8918203 
26,48,0,0,0,0,1,0,0,17,0,7.0900800,4,3.8712010 
27,48,0,0,0,0,1,0,0,17,0,7.1309000,5,3.8712010 
28,48,0,0,0,0,1,0,0,17,0,6.9994200,6,3.8712010 
29,49,0,0,0,0,1,0,0,17,0,7.0148100,7,3.8918203 
6,51,1,1,1,0,1,0,0,9,0,6.0958200,1,3.9318256 
7,51,1,1,1,0,1,0,0,9,0,6.2915700,2,3.9318256 
8,50,1,1,1,0,1,0,0,9,0,6.4052300,3,3.9120230 
9,50,1,1,1,0,1,0,0,9,0,6.6200700,4,3.9120230 
10,49,1,1,1,0,1,0,0,9,0,6.7190100,5,3.8918203 
11,50,1,1,1,0,1,0,0,9,0,6.8254600,6,3.9120230 
12,50,1,1,1,0,1,0,0,9,0,6.9546400,7,3.9120230 
25,50,1,1,1,0,1,0,1,6,0,6.1003200,1,3.9120230 
26,51,1,1,1,0,1,0,1,6,0,6.2915700,2,3.9318256 
27,51,1,1,1,0,1,0,1,6,0,6.2915700,3,3.9318256 
28,51,1,1,1,0,1,0,1,6,0,6.3716100,4,3.9318256 
29,44,1,1,1,0,1,0,1,6,0,6.4738900,5,3.7841896 
30,41,1,1,1,0,1,0,1,6,0,6.5467900,6,3.7135721 
31,42,1,1,1,0,1,0,1,6,0,6.5903000,7,3.7376696 
6,48,0,1,0,1,1,0,1,12,0,6.2860000,1,3.8712010 
7,49,0,1,0,1,1,0,1,12,0,6.4599000,2,3.8918203 
8,42,0,1,0,1,1,0,1,12,0,6.5496500,3,3.7376696 
9,15,0,1,0,1,1,0,1,12,0,6.6463900,4,2.7080502 
10,44,0,1,0,1,1,0,1,12,0,6.7684900,5,3.7841896 
11,47,1,1,0,1,1,0,1,12,0,6.8416200,6,3.8501476 
12,44,0,1,0,1,1,0,1,12,0,6.9479400,7,3.7841896 
32,48,0,0,0,1,1,0,0,16,0,6.9057500,1,3.8712010 
33,49,0,0,0,1,1,0,0,16,0,6.9057500,2,3.8918203 
34,50,0,0,0,1,1,0,0,16,0,7.3651800,3,3.9120230 
35,48,0,0,0,1,1,0,0,16,0,7.4247600,4,3.8712010 
36,49,0,0,0,1,1,0,0,16,0,7.4673700,5,3.8918203 
